id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
2225221,ORANGE,AJO,"5G NR 700, 5G NR 3500",VC N°5 DE LA FERRIÈRES AUX ETANGS AU SAPIN DES LANDES MENUE (LE BRULE-EST) 61450 LA FERRIERE AUX ETANGS,61163,"48.6528,-0.5156",Pylône autostable,"36,3m",TOTEM,,False,False
2225221,ORANGE,SUP,LTE 700,VC N°5 DE LA FERRIÈRES AUX ETANGS AU SAPIN DES LANDES MENUE (LE BRULE-EST) 61450 LA FERRIERE AUX ETANGS,61163,"48.6528,-0.5156",Pylône autostable,"36,3m",TOTEM,2020-12-29,False,False
2243807,ORANGE,AAV,LTE 800,42 RUE ACHILLE BODELOT 62460 DIVION,62270,"50.4686,2.5058",Bâtiment,12m,Particulier,2025-08-25,False,True
2259140,ORANGE,ALL,5G NR 2100,RUE DU PRESSOIR 77131 TOUQUIN,77469,"48.7347,3.0072",Pylône tubulaire,20m,TOTEM,2025-08-11,False,False
2262786,ORANGE,SUP,"GSM 900, UMTS 900, LTE 700",12-14 RUE DES CANNONIERS 59800 LILLE,59350,"50.6397,3.07",Immeuble,36m,Société HLM,2013-03-29,False,False
2281147,ORANGE,AJO,"LTE 700, 5G NR 2100",EGLISE DE CHÉRENCE 95510 CHERENCE,95157,"49.0878,1.6758",Monument religieux,29m,"Commune, communauté de communes",,False,False
2297614,ORANGE,AJO,5G NR 2100,CHEMIN DU ROY CHÂTEAU D'EAU 78440 JAMBVILLE,78317,"49.0525,1.8428",Pylône autostable,30m,ORANGE,,False,False
2304312,ORANGE,ALL,5G NR 2100, (CINQ ARDITS) 47700 BEAUZIAC,47026,"44.2992,0.0447",Pylône autostable,47m,Conseil Départemental,2025-07-18,False,False
2306154,ORANGE,AJO,5G NR 2100,RUE PASTEUR - D37 CHÂTEAU D'EAU 78270 LOMMOYE,78344,"48.9844,1.5106",Château d'eau - réservoir,40m,"Commune, communauté de communes",,False,False
2315068,ORANGE,AJO,"LTE 2100, 5G NR 700, 5G NR 3500",2 CITE SAINT-PIERRE ROUTE DE SAINT OUEN (LA BASSURE) 80610 ST OUEN,80711,"50.0447,2.1308",Pylône autostable,33m,TOTEM,,False,False
