id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support
1697128,BOUYGUES TELECOM,ALL,5G NR 3500,33 R DU MAIL (STADE ROGER COUDERC) 95310 ST OUEN L AUMONE,95572,"49.0503,2.1089",Pylône tubulaire,"26,6m",BOUYGUES
1698068,SFR,ALL,LTE 700,(LA MAISON NEUVE) 44350 GUERANDE,44069,"47.3367,-2.4422",Pylône autostable,32m,HIVORY
1698109,BOUYGUES TELECOM,ALL,"LTE 700, 5G NR 3500",AV DE PRIEUX ET AV GUSTAVE FLAUBERT 44380 PORNICHET,44132,"47.2564,-2.3356",Pylône tubulaire,"27,2m",HIVORY
1717954,BOUYGUES TELECOM,ALL,5G NR 2100,CHEM DE LA CARRIÈRE (LES EPINETTES) 79430 LA CHAPELLE ST LAURENT,79076,"46.7344,-0.4894",Pylône autostable,"32,6m",HIVORY
1717954,SFR,ALL,5G NR 2100,CHEM DE LA CARRIÈRE (LES EPINETTES) 79430 LA CHAPELLE ST LAURENT,79076,"46.7344,-0.4894",Pylône autostable,"32,6m",HIVORY
1718700,BOUYGUES TELECOM,ALL,5G NR 2100,CHEM DE LANGUIGO   D 767 STADE  56300 NEULLIAC,56146,"48.1358,-2.9842",Pylône autostable,32m,HIVORY
1718700,SFR,ALL,5G NR 2100,CHEM DE LANGUIGO   D 767 STADE  56300 NEULLIAC,56146,"48.1358,-2.9842",Pylône autostable,32m,HIVORY
1719931,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",CHEM  DU NILESTREC STADE DU MENEC 56340 CARNAC,56034,"47.5881,-3.0867",Pylône tubulaire,"25,5m",HIVORY
1748000,ORANGE,ALL,LTE 700,CHEM RURAL N° 109 (LA CHANTARDIÈRE) 35240 LE THEIL DE BRETAGNE,35333,"47.9247,-1.4461",Pylône autostable,"30,4m",TOTEM
1753478,BOUYGUES TELECOM,ALL,5G NR 3500,479   BIS RUE DE LA  JUSTICE 77000 VAUX LE PENIL,77487,"48.5317,2.6825",Pylône tubulaire,27m,BOUYGUES
1757618,BOUYGUES TELECOM,ALL,5G NR 3500,CAMPUS THALÈS AVENUE MARCEL DASSAULT 33700 MERIGNAC,33281,"44.8503,-0.6997",Pylône tubulaire,27m,BOUYGUES
1770909,ORANGE,EXT,"LTE 700, LTE 800",116 B AVENUE RAOUL ALADENIZE 18500 MEHUN SUR YEVRE,18141,"47.1411,2.2356",Pylône tubulaire,28m,TOTEM
1771931,BOUYGUES TELECOM,ALL,5G NR 3500,AV DU CAP NÈGRE DOMAINE DE LA PINÈDE CLUB AQUARIUS (PRAMOUSQUIER) 83980 LE LAVANDOU,83070,"43.1497,6.4439",Pylône tubulaire,12m,HIVORY
1779432,SFR,SUP,"GSM 900, UMTS 900, LTE 800",D33 (MONT SAINTE ODILE) 67530 OTTROTT,67368,"48.4361,7.4022",Mât,"10,5m","État, Ministère"
1787648,BOUYGUES TELECOM,ALL,5G NR 3500,5 RUE CAMILLE PELLETAN 33150 CENON,33119,"44.8631,-0.5197",Immeuble,36m,"Copropriété, Syndic, SCI"
1789831,FREE MOBILE,ALL,"UMTS 900, LTE 700, LTE 1800, LTE 2600",13 ALL CHARLES DE FITTE 31000 TOULOUSE,31555,"43.5939,1.4333",Immeuble,"48,5m","Copropriété, Syndic, SCI"
1792094,FREE MOBILE,ALL,5G NR 3500,4 CITE DU CALVAIRE STADE 15150 LAROQUEBROU,15094,"44.9667,2.1958",Pylône autostable,"20,7m",TDF
1792879,FREE MOBILE,ALL,5G NR 3500,1 R COLI 91700 STE GENEVIEVE DES BOIS,91549,"48.6497,2.3369",Bâtiment,28m,ORANGE
1801069,BOUYGUES TELECOM,ALL,5G NR 3500,AVENUE HUBERT CURIEN TOULOUSE ONCOPOLE 31000 TOULOUSE,31555,"43.5581,1.4322",Pylône autostable,"35,5m",TOTEM
1802190,SFR,ALL,LTE 800,569 MOYENNE CORNICHE CHÂLET FONSDIVINA 06240 BEAUSOLEIL,06012,"43.7517,7.4286",Immeuble,10m,Particulier
1804742,BOUYGUES TELECOM,SUP,"GSM 900, UMTS 900, LTE 800, LTE 1800, LTE 2100, 5G NR 2100",ZI DE L'ECOPARC (LE VALOTIN) 27400 HEUDEBOUVILLE,27332,"49.2003,1.2244",Pylône autostable,"31,3m",HIVORY
1811421,BOUYGUES TELECOM,ALL,5G NR 3500,35-41 RUE DE PARIS 92110 CLICHY,92024,"48.8983,2.3058",Immeuble,"39,2m",Société HLM
1812923,BOUYGUES TELECOM,ALL,"LTE 2100, 5G NR 2100",(COL DU ST BERNARD) 06440 PEILLE,06091,"43.8092,7.4067",Pylône autostable,27m,HIVORY
1815612,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 800, LTE 1800, LTE 2100",CARREFOUR DE LA LIBÉRATION D 133 27110 VENON,27677,"49.1717,1.0392",Château d'eau - réservoir,"39,1m","Syndicat des eaux, Adduction"
1816901,ORANGE,ALL,LTE 700,N 12 VOIE COMMUNALE N°6 (KERIZIEN) 29400 PLOUNEVENTER,29204,"48.5019,-4.1806",Pylône autostable,33m,TOTEM
1823318,FREE MOBILE,ALL,5G NR 3500,LOT LE CALVAIRE 43140 ST DIDIER EN VELAY,43177,"45.3092,4.2783",Pylône autostable,"32,5m",TDF
1826261,BOUYGUES TELECOM,ALL,5G NR 3500,RUE DE L'EGLISE CHÂTEAU D'EAU 59160 CAPINGHEM,59128,"50.6439,2.965",Château d'eau - réservoir,44m,"Commune, communauté de communes"
1834449,SFR,ALL,"LTE 700, LTE 2100",(LA RABARDIÈRE) 35370 BRIELLES,35042,"48.0158,-1.1011",Pylône autostable,31m,TDF
1834512,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, 5G NR 2100",D 43 LA BLINLUÈRE (LA GRÉE) 35370 LE PERTRE,35217,"48.0158,-1.0619",Pylône autostable,43m,TDF
1855057,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2600",(LE FREISSINET D'AVAL) 05290 VALLOUISE PELVOUX,05101,"44.8669,6.4864",Pylône tubulaire,"16,5m",HIVORY
1876183,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100",VC N°25 (LA NOE) 27410 LE NOYER EN OUCHE,27444,"49.0089,0.7528",Château d'eau - réservoir,41m,"Commune, communauté de communes"
1884615,FREE MOBILE,ALL,5G NR 3500,SOURCE DES RUINES RD 280 (MAISON GUILLON) 38190 LAVAL EN BELLEDONNE,38206,"45.2453,5.9728",Pylône autostable,33m,TDF
1895370,BOUYGUES TELECOM,ALL,5G NR 3500,47 QUAI DE SOUTHAMPTON 76600 LE HAVRE,76351,"49.4861,0.1089",Immeuble,"41,4m","Copropriété, Syndic, SCI"
1901616,FREE MOBILE,ALL,5G NR 3500,RUE DE DARNEY (LA GOUTTE DU PATEY) 88260 ATTIGNY,88016,"48.0808,6.0419",Pylône autostable,"43,9m",TDF
1907806,SFR,ALL,LTE 2600,ZONE INDUSTRIELLE DU GRAND CRELIN 44410 ST LYPHARD,44175,"47.3911,-2.3144",Pylône tubulaire,27m,HIVORY
1932864,SFR,ALL,"LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600",ENTRE D15 ET RAIL (BOIS DE LA SOLLE) 21460 THOSTE,21635,"47.4258,4.2172",Pylône autostable,"36,7m",TDF
1934429,BOUYGUES TELECOM,ALL,5G NR 3500,9 RUE JEAN CANAVESE 06000 NICE,06088,"43.7214,7.2497",Bâtiment,"30,3m",Société Privée
1935393,SFR,ALL,"LTE 800, LTE 2600",AÉROPORT INTERNATIONAL TARBES LOURDES MP LANNEMOURINE 65290 JUILLAN,65235,"43.1853,0.0036",Bâtiment,"3,5m","CCI, Ch Métier, Port Aut, Aéroport"
1935672,Gouv Nelle Calédonie (OPT),SUP,"GSM 900, UMTS 900, LTE 800",MASSIF MINIER KOUAOUA MEA (MINE SLN MEA) 98818 KOUAOUA,98833,"-21.4553,165.7675",Mât métallique,10m,Office des Postes et Télécom
1942705,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100, 5G NR 3500",STADE MUNICIPAL PIERRE JEMETZ (MONTRAVERSIER) 45700 PANNES,45247,"48.0139,2.6908",Pylône tubulaire,25m,HIVORY
1960600,FREE MOBILE,ALL,"LTE 2100, 5G NR 700",94 RUE DU GENERAL DE GAULLE 95320 ST LEU LA FORET,95563,"49.0167,2.2425",Immeuble,"16,5m","Copropriété, Syndic, SCI"
1960888,ORANGE,ALL,LTE 700,D158 (LE RANG) 70190 VORAY SUR L OGNON,70575,"47.3514,6.0203",Pylône autostable,30m,TOTEM
1972785,BOUYGUES TELECOM,ALL,LTE 700,2 R DU CARDINAL MATHIEU 54000 NANCY,54395,"48.6714,6.1667",Immeuble,21m,"Copropriété, Syndic, SCI"
1975282,BOUYGUES TELECOM,ALL,LTE 700,58 R HENRI DOMERGUE BAT C JEANNETTE 76600 LE HAVRE,76351,"49.5158,0.1256",Immeuble,"18,8m",Société HLM
2014200,BOUYGUES TELECOM,ALL,5G NR 3500,CHEM RURAL N°12 DU CHEM NEUF (LES TERRES QUEMINES.) 76113 HAUTOT SUR SEINE,76350,"49.3719,0.9692",Pylône autostable,50m,HIVORY
2025457,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",92 RTE DU VAL DE GORBIO RÉSIDENCE LES JARDINS OLYMPIE 06500 MENTON,06083,"43.7783,7.4719",Bâtiment,"15,4m","Copropriété, Syndic, SCI"
2030134,BOUYGUES TELECOM,ALL,5G NR 3500,AV CANTIPOU (15 COURTE CÔTE) 76700 HARFLEUR,76341,"49.5136,0.2072",Pylône autostable,26m,CELLNEX
2053724,BOUYGUES TELECOM,ALL,5G NR 3500,3 ALL DU POURQUOI PAS 91000 EVRY COURCOURONNES,91228,"48.6222,2.4508",Immeuble,17m,"Copropriété, Syndic, SCI"
2058156,BOUYGUES TELECOM,ALL,5G NR 3500,102 À 110 AV ACHILLE PERETTI 92200 NEUILLY SUR SEINE,92051,"48.885,2.2672",Immeuble,33m,"Copropriété, Syndic, SCI"
2066100,FREE MOBILE,ALL,5G NR 3500,(LA LANDE DE LA BONNE VIERGE) 35113 DOMAGNE,35096,"48.0792,-1.3922",Pylône autostable,"31,9m",ON TOWER FRANCE
2081225,FREE MOBILE,ALL,5G NR 3500,CHEMIN DE LA BASSE VILLE AVENUE LOUIS PASTEUR (ETANG DE PÊCHE) 59166 BOUSBECQUE,59098,"50.7681,3.0622",Pylône autostable,25m,TOTEM
2094982,BOUYGUES TELECOM,ALL,LTE 700,RUE DE LA LIBERATION 62710 COURRIERES,62250,"50.4417,2.9203",Pylône tubulaire,"31,5m",CELLNEX
2096650,BOUYGUES TELECOM,ALL,"UMTS 900, LTE 700, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 2100",RUE DES JUJUBIERS 06210 MANDELIEU LA NAPOULE,06079,"43.5547,6.9394",Immeuble,22m,"Copropriété, Syndic, SCI"
2101137,BOUYGUES TELECOM,ALL,LTE 700,48 GRAND PLACE 62400 BETHUNE,62119,"50.5311,2.64",Bâtiment,"24,8m",Particulier
2106673,FREE MOBILE,ALL,5G NR 3500,74 BD DE STRASBOURG 75010 PARIS 10,75110,"48.8756,2.3583",Bâtiment,30m,Société Privée
2108238,ORANGE,EXT,LTE 700,PRÈS D753 FIEF DE LA GRANGE (LE BOIS NAUD) 44650 CORCOUE SUR LOGNE,44156,"46.9308,-1.5217",Pylône autostable,40m,ATC FRANCE
2133307,BOUYGUES TELECOM,ALL,5G NR 3500,2 PL ST SIMILIEN 44000 NANTES,44109,"47.2206,-1.5594",Monument religieux,"36,1m","Commune, communauté de communes"
2144818,BOUYGUES TELECOM,ALL,"LTE 700, LTE 2100",STADE STANISLAS BREHIER 50670 ST LAURENT DE CUVES,50499,"48.7494,-1.1128",Pylône autostable,"30,6m",BOUYGUES
2159903,BOUYGUES TELECOM,ALL,5G NR 3500,39 AVENUE CAMILLE PELLETAN 13002 MARSEILLE 02,13202,"43.3039,5.3733",Immeuble,25m,"Copropriété, Syndic, SCI"
2160301,BOUYGUES TELECOM,ALL,5G NR 3500,109 ROUTE DE BANDOL 83110 SANARY SUR MER,83123,"43.1233,5.7922",Pylône arbre,"15,9m",BOUYGUES
2162866,ORANGE,ALL,LTE 700,D15 (LA CORVÉE) 39290 THERVAY,39528,"47.2342,5.5858",Pylône autostable,36m,TOTEM
2188144,FREE MOBILE,ALL,"LTE 2100, 5G NR 700, 5G NR 3500",PARC DES EXPOS HÔTEL IBIS 93420 VILLEPINTE,93078,"48.9667,2.5172",Immeuble,21m,Société Privée
2195748,FREE MOBILE,ALL,5G NR 3500,RUE DE SAILLY D52 (LA CHIQUE) 08110 BLAGNY,08067,"49.6186,5.1881",Pylône autostable,27m,TOTEM
2199552,FREE MOBILE,ALL,5G NR 3500,BOULEVARD DE L'EUROPE 76000 ROUEN,76540,"49.4319,1.0783",Immeuble,"16,3m","Commune, communauté de communes"
2214077,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800","RUELLE MAJOT, CHIENDENT 97438 STE MARIE",97418,"-20.9333,55.5403",Pylône autostable,"32,5m",TDF
2214411,FREE MOBILE,ALL,5G NR 3500,BOIS DE L'ORME ROUTE DE LA PLANEE (VEAU DE PALLET) 25160 OYE ET PALLET,25442,"46.85,6.3281",Pylône autostable,33m,TDF
